jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,date
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1/2010
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,2/2010
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,3/2010
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,4/2010
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,5/2010
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,6/2010
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,7/2010
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107,0,8/2010
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108,0,9/2010
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109,0,10/2010
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,110,0,11/2010
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,111,0,12/2010
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,1/2011
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,2/2011
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,3/2011
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,4/2011
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,5/2011
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,6/2011
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,7/2011
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119,0,8/2011
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,0,9/2011
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,0,10/2011
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,122,0,11/2011
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,123,0,12/2011
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1/2012
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125,0,2/2012
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,3/2012
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,4/2012
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,5/2012
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,6/2012
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,7/2012
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131,0,8/2012
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,132,0,9/2012
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,133,0,10/2012
