Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
6/2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2012,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
