Months_After_9/11,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf_War_Recession,Leap_Feb,Great_Recession,Thanksgiving_n,Thanksgiving_d,Unemployement,Labor_Force,RPMs,Date,CPG,9/11,Avg,Avgd,MSC
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,143924.0,43965366410,3/2001,0.75,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,143569.0,42248311262,4/2001,0.77,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,143318.0,42363342301,5/2001,0.82,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5,143357.0,45237041653,6/2001,0.77,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6,143654.0,47920709144,7/2001,0.71,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.9,143284.0,48423014723,8/2001,0.76,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,143989.0,26026300484,9/2001,0.74,1.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.3,144086.0,33324164073,10/2001,0.62,0.0,0.0,0.0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5,144240.0,33889800942,11/2001,0.54,0.0,0.0,0.0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,144305.0,34753514418,12/2001,0.52,0.0,0.0,0.0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,143883.0,32840752603,1/2002,0.53,0.0,0.0,0.0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,144653.0,32518584737,2/2002,0.55,0.0,0.0,0.0,0
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,144481.0,41271421797,3/2002,0.63,0.0,0.0,0.0,0
